ID,Name,NetWorth_Billions,x,y,z,vx,vy,vz,industries,connections,hue color value
1713,Jim Crane,2.129834725,-1.6012037,1.2678872,-0.8477994,-0.01393670789535786,-0.013132415512664315,0.0,logistics/shipping,1621/252,0.7081293
1714,Charles Bronfman,2.129834725,-0.62431383,0.37894315,0.3382803,0.004994103664607081,-0.02065715062201304,0.0,Liquor,1924/1625/1459/695/1174/1413,1.2380048
1715,Lin Xiucheng & family,2.129834725,1.6537608,1.399432,-0.09065223,-0.029580025005762317,0.0006461203186132363,0.0,Electronics,184/194/1156/1512/187/225,0.9184684
1716,Sergei Gordeev,2.129834725,0.45561823,1.1226459,0.7203206,-0.023056516046903685,-0.006264625571067244,0.0,real estate,114/1111/1966,1.6829958
1717,Nicola Bulgari,2.129834725,-0.0935653,0.5012775,0.62152445,-0.006125178297344804,-0.03487317578773186,0.0,social media/luxury/fashion/retail,1406/10/2026,0.3671407
1718,Kenneth Hao,2.129834725,-1.11544,1.0827361,-1.427532,-0.029081732992322615,-0.02645246361872307,0.0,investment/finance,1830/1720/1719/50/7/336/335/2874,1.5244248
1719,Greg Mondre,2.129834725,-1.6685321,0.9328209,0.8992232,0.020311264145345436,-0.016518336666756096,0.0,investment/finance,1655/1830/1720/1718/336/335/2874/334,1.5244248
1720,Egon Durban,2.129834725,-1.4807649,0.82343864,-1.2225486,0.023069922993723138,0.006215071908713622,-0.0,investment/finance,336/1655/1830/1719/1718/335,1.5244248
1721,Pierre van der Mersch & family,2.129834725,0.98118985,0.28139013,-0.5841873,0.0069837192473041244,0.01650689048550952,-0.0,Investing,2778/419/1626,0.42964417
1722,Rolf Gerling,2.129834725,-0.03253199,0.7271513,1.2763453,0.01566317599389228,-0.012436939289810664,0.0,Insurance,579/390/3032,2.050591
1723,Mike Repole,2.129834725,-0.3421631,1.0378386,0.51889086,0.0,0.0,0.0,logistics/shipping/sports/entertainment,,0.7081293
1724,Ramesh Jaisinghani,2.129834725,0.780851,0.5049186,0.25813156,-0.012961645323832732,-0.0054924596701494575,0.0,Cables and wires,1733/2048/1665,0.9313558
1725,Nerio Alessandri,2.129834725,1.0448891,0.74179614,-0.94342595,0.0,0.0,0.0,Gym equipment,,1.9215466
1726,David Fattal & family,2.044641336,0.12863629,0.72613716,0.49925804,-0.008545521625184052,-0.012143403907345208,0.0,hotels,3298/1411/3033/2982/3027,0.9057715
1727,Luca Garavoglia,2.044641336,-0.08046317,1.1047455,0.71880996,-0.0073390537663085,-0.00796231232364537,0.0,Spirits,1955/2278,1.1527723
1728,Alec Gores,2.044641336,-1.0834461,1.1703405,-1.4403982,0.0034266810949564975,-0.02706544984416012,0.0,investment/finance,993/135/737/467/334,1.5244248
1729,Riaz Valani,2.044641336,-1.1478187,1.2348725,-1.17479,0.0003209555320767605,-0.0113677765968193,0.0,E-cigarettes,1404/2859,1.1573477
1730,Haluk Bayraktar,2.044641336,0.30112222,1.1195484,1.0791143,0.0016440679707824697,0.008559775805145371,-0.0,Military drones,1561,1.502516
1731,Mehmet Sinan & Family Tara,2.044641336,0.29677826,0.52394295,0.34125093,-0.01346415598876754,-0.008061330305520132,0.0,construction/materials,3201/3137/994/3309/3138,0.8420775
1732,T. Denny Sanford,2.044641336,-0.63113254,0.5484178,-0.34084612,0.0024234271987917475,0.021215116261520926,-0.0,finance,1530/189/3001/3015,1.5244248
1733,Ajay Jaisinghani,2.044641336,0.8354026,0.47306645,0.28013477,-0.014104672808700102,-0.001329537114834883,0.0,Wires and cables,2048/1665/1724,0.3673544
1734,Florian Rehm,2.044641336,0.41583312,1.0916636,1.4973495,-0.014985764666061795,0.013940174640615657,0.0,liquor,1625/1459/1174/695/1413,1.7885139
1735,Chu Lam Yiu,2.044641336,0.90251493,0.62126255,-0.8419814,0.004986375763773547,0.012767202932796286,-0.0,Flavorings,896/2415,1.1084377
1736,Manuel Puig Rocha,2.044641336,-0.012732506,1.0981976,1.4726061,0.0010048345384485698,-0.005642803287362933,0.0,ai/software/retail,2770,1.2647958
1737,Alexander Skorobogatko,2.044641336,0.27465326,0.9461013,1.1871886,0.009033713118619497,-0.023073689520494205,0.0,ai/software/real estate,1828/506/132/2648/3219/3359,1.2647958
1738,Zhu Gongshan & family,2.044641336,0.6912433,0.5503794,0.36240867,0.0,0.0,0.0,Solar panel materials,,1.2423176
1739,Liu Zhenfeng,2.044641336,1.284281,1.3084458,-1.2993479,-0.03339404597653513,-0.0055394549276990565,0.0,energy/oil and gas,86/3107/39/685/973/627/1427/174/983/3223,1.2296851
1740,Thomas Steyer,2.044641336,-0.8426882,0.4343995,-0.62977976,0.020636418422239514,0.027538354415096316,-0.0,hedge funds/finance,115/34/70/120,1.5244248
1741,Reinfried Pohl Jr,2.044641336,0.38436562,1.6665626,0.7358307,-0.016679326561655362,0.00336303149025878,0.0,Mutual funds,1634/1541/781,0.44479728
1742,Bennett Dorrance,2.044641336,-0.81305873,0.85636854,-0.25461003,-0.002314647363806304,-0.01057839946803232,0.0,Campbell Soup,3210/2322/3204,1.8543812
1743,Alexandre Grendene Bartelle,2.044641336,-1.4200871,-0.6694436,0.4722172,0.016075964123450207,-0.01473308378233158,0.0,Shoes,1256/1153/3115/1255/1254/551,0.6472653
1744,John de Mol,2.044641336,0.6484702,1.1279962,1.494854,0.0,0.0,0.0,media/entertainment,,1.8096282
1745,Jeremy Allaire,2.044641336,-1.0080334,1.0940301,0.10214992,-0.007743404975127629,-0.036502819750696594,0.0,cryptocurrency/fintech,345/249/22/54/1231/55/1770,0.86932945
1746,Ana Lucia de Mattos Barretto Villela,2.044641336,-0.45424455,-0.5622598,0.53016585,0.012828175552893912,0.003172088900590239,-0.0,finance,1607/2440/2444,1.5244248
1747,David Teoh,2.044641336,0.2575276,-0.5038794,-1.1062499,0.027795190539964983,0.021894242002116815,-0.0,telecom,15/758/1956/227,0.37299705
1748,Alexey Repik,2.044641336,0.48125106,0.5879859,0.3454707,-0.028729680675601683,-0.01134795644681122,0.0,healthcare/pharmaceuticals,1128/94/337/455/253/139,1.4115231
1749,Ioannis Papalekas,2.044641336,0.7455287,0.9547623,0.7623545,-0.023720034139365798,-0.0028650386025528265,0.0,real estate,114/1111/1966,1.6829958
1750,Chung Yong-ji,2.044641336,-1.80779,1.2822697,0.17303264,0.0021713654839090354,-0.02061213974452538,0.0,healthcare/pharmaceuticals,1859/3186/487/1523/1580/1883,1.4115231
1751,Wang Wenjing,2.044641336,1.5039771,0.607918,-0.1441707,0.0022058387285462306,0.02269441564356376,-0.0,software/cloud,435/505/1107/2062/1093,1.5939332
1752,Abhay Soi,2.044641336,0.98922104,0.76775086,0.30615985,-0.007747100633864154,0.010047190538396356,0.0,healthcare,2053/1238,2.0075605
1753,Mika Anttonen,2.044641336,0.31346238,0.73601276,0.4633417,-0.006752895631688028,0.02976240703057573,0.0,energy/oil and gas,134/323/71/245,1.2296851
1754,David Adelman,2.044641336,-1.0929892,0.8250688,0.33627108,0.0,0.0,0.0,real estate,,1.6829958
1755,James Dinan,2.044641336,-0.81621516,0.5717188,0.61249363,-0.02159516637627749,0.024513995014556447,0.0,hedge funds/finance,115/34/1943/120/1701,1.5244248
1756,John Stanton,2.044641336,-0.34526145,0.5797849,-0.19210401,0.038713153465558175,0.0016848361271092095,-0.0,wireless,18/1574/13,1.9507692
1757,Zhang Fan,2.044641336,1.0638709,0.20913881,-0.7785435,0.0,0.0,0.0,Touch screens,,1.8003125
1758,Vasily Shikin,2.044641336,-1.4065264,1.3215975,-0.6879272,-0.02019007044233098,-0.017894931832731244,0.0,Advertising technology,158/693/1127/575/1471/400,1.7455251
1759,Nan Cunhui,2.044641336,0.76400703,0.7441443,-0.19749057,0.0,0.0,0.0,Power equipment,,0.38430655
1760,Park Soon-jae,2.044641336,0.081177644,0.62629217,0.31509063,-0.01026664915981867,-0.012242015263538828,0.0,healthcare/pharmaceuticals,2355/1905/1214/2354,1.4115231
1761,Anand Deshpande,2.044641336,0.50305337,0.3252221,0.18552819,-0.007985481165575214,0.018926392341716974,0.0,Technology,1590/1026/2147/573/1633,1.0906686
1762,Gustavo Denegri & family,2.044641336,-1.4653738,1.7619442,-0.1878336,-0.010786702104623088,-0.019199703750326664,0.0,healthcare/pharmaceuticals,1125/1859/3186/487/1580/1883/1523,1.4115231
1763,Jannie Mouton & family,2.044641336,0.41519323,0.4035289,-0.14783806,-0.010819116719083427,0.013287300735925711,0.0,finance,746/2024/1274,1.5244248
1764,Shlomo Kramer,2.044641336,-1.1364566,1.7118859,-0.25692207,-0.010426648316494818,-0.01263786837681986,0.0,software/cloud/investment/finance,2606/1273/865,1.5939332
1765,Nurit Manor,2.044641336,0.49849844,0.26971278,-0.26477063,0.008030330089630016,0.01620086144255089,-0.0,finance,746/1767/1763/1766,1.5244248
1766,Yair Hamburger,2.044641336,-0.019725315,0.54679066,0.25047448,-0.00873114074363267,-0.01583418119588212,0.0,finance,746/1767/1763/1765,1.5244248
1767,Gideon Hamburger,2.044641336,0.0469951,0.3667748,0.4768101,-0.0012137824393018326,-0.01804108768947127,0.0,finance,746/1763/1765/1766,1.5244248
1768,Li Zhiyuan,2.044641336,1.0643667,0.34740654,-0.19872667,0.0,0.0,0.0,Electrical components,,1.9974475
1769,Hans Jakob Limbach,2.044641336,0.30004096,1.4002168,1.6466807,0.0,0.0,0.0,laboratories,,1.4946914
1770,Song Chi-hyung,2.044641336,-0.17599827,0.6291148,0.6788104,0.00438504018337135,-0.03834110151734952,0.0,Fintech,345/249/228/22/3348/54/1745/3028/783/150/55/3347,1.8876406
