ID,Name,NetWorth_Billions,x,y,z,vx,vy,vz,industries,connections,velocity_mode,velocity_scale,hue color value
1528,Shigenobu Nagamori,2.385414892,1.3015742,1.4721314,-0.48952025,0.0007913329784655683,-0.004346637676807909,-0.0026288800789819227,Motors,3113,radial,0.05,0.51385605
1529,Larry Tanenbaum,2.385414892,-0.96180093,0.68239206,0.006054893,0.011297320317759816,-0.005844288898648059,0.015690502831094397,logistics/shipping/sports/entertainment,1068/2392/2391/731/2393/1592,radial,0.05,0.7081293
1530,Brett Hildebrand,2.385414892,-0.76344436,0.4694608,-0.17145726,0.0038805335407332006,0.002952240075887953,0.014195722036400276,finance,1353/3001/3015/1732,radial,0.05,1.5244248
1531,Madeleine Grogg,2.385414892,0.2908939,0.57487893,0.5280942,0.0011599779851647616,-0.0011136183330884967,-0.024070746167502384,healthcare/pharmaceuticals,2810/823/1321/2811/139,radial,0.05,1.4115231
1532,Bernard Saul II & family,2.385414892,-0.5354573,0.64955544,0.26891217,-0.008523813268289581,-0.0016230792832107525,-0.0026877917968348517,finance/real estate,1488,radial,0.05,1.6829958
1533,Chen Wenyuan & family,2.385414892,0.96367365,0.866825,-1.0274012,-0.003918438768218862,-0.00035786207822427143,0.013029483226873582,Testing equipment,1624/2507/1951,radial,0.05,1.1758193
1534,Chen Hua & family,2.385414892,0.9828836,0.27679554,-1.0757687,0.0,0.0,0.0,real estate,,radial,0.05,1.6829958
1535,Amy Adams Strunk,2.385414892,-2.1459756,0.70933586,0.88872176,0.029805416622487813,-0.005157635196552823,-0.021384456405677488,Tennessee Titans,7,radial,0.05,0.5937262
1536,Eugene Murtagh,2.385414892,-1.3597362,1.730586,-0.54318225,0.01440080397328211,-0.0043175915889808415,0.009354287630537193,Building materials,2815/992/1599/2791/1816,radial,0.05,1.0213703
1537,Alan Trefler,2.385414892,-1.1468747,1.6239145,0.22574444,0.01090736900650498,-0.01566150686247053,-0.010739330343057282,software/cloud,470/2847/1015/509/2851,radial,0.05,1.5939332
1538,Firoz Mistry,2.385414892,-0.57139415,0.5930782,-0.27127102,0.0217516375953608,-0.00904073520428372,0.004398544799136193,Diversified,169/466/768,radial,0.05,0.8902763
