ID,Name,NetWorth,x,y,z,industries,connections,hue color value
80,Lakshmi Mittal,25302436531,0.21894602,0.99196887,1.3504077,mining/materials,2254/56/371,0.8420775
81,Andreas von Bechtolsheim & family,25302436531,-0.41757527,0.7335277,-0.35132527,internet/ai/advertising,338/710/1/2,0.7535922
82,Vagit Alekperov,25132049753,0.3657201,0.8395465,0.20996742,energy/oil and gas,2776/3239/310/3269/327,1.2296851
83,Reinhold Wuerth & family,24194922474,0.15793914,0.7609116,0.69735867,Fasteners,,0.80905503
84,Susanne Klatten,24109729085,0.09811158,0.7087842,1.0378212,automotive/healthcare/pharmaceuticals,1406/1482/88/2109,2.0075605
85,Leonid Mikhelson & family,24109729085,0.18913499,1.3303051,0.60600233,energy/oil and gas,110/2470,1.2296851
86,Jack Ma,24109729085,1.4677141,1.1925907,-0.23613936,e-commerce/retail,3/1385/527,0.59320146
87,Peter Thiel,24109729085,-1.366822,0.98478365,-0.9302274,social media/advertising/ai/investment/finance,0/5/1574,1.3075284
88,Stefan Quandt,24109729085,-0.16107303,0.6717449,1.1211945,automotive,1406/84/2109,0.6697777
89,John Tu,23172601806,-1.1707324,1.5222659,-0.6017976,Computer hardware,2336/90,0.6002581
90,David Sun,23172601806,-1.1563706,1.4890634,-0.6597021,Computer hardware,2336/89,0.6002581
91,François Pinault & family,22831828250,-0.04487262,0.7054223,0.36716902,social media/luxury/fashion/retail,185/1070/1073/2265,0.3671407
92,Vicky Safra & family,22405861305,-0.7281899,0.41875213,0.27622712,finance,1274,1.5244248
93,Cyrus Poonawalla,22235474527,0.78636396,0.59909576,0.40814972,healthcare/pharmaceuticals,802/1410/824/825/1148,1.4115231
94,Dilip Shanghvi,22150281138,0.79385835,0.026989266,0.2839566,healthcare/pharmaceuticals,1128/94/466/139,1.4115231
95,Gina Rinehart,22065087749,0.38864067,1.1137822,0.8198349,mining/materials,129/971/1050/1118/1334,0.8420775
96,Israel Englander,21979894360,-0.8852685,0.54109865,0.46483082,hedge funds/finance,3139/115/452/34/70/120,1.5244248
97,Suleiman Kerimov & family,21894700971,0.25102413,0.8077685,0.7959551,mining/materials,2420,0.8420775
98,Wang Weixiu & family,21809507582,0.9390248,0.596641,-0.48997933,Machinery,815/2246/2595/1672,0.9036575
99,Vladimir Lisin,21724314193,0.35470814,1.1766881,1.1712619,mining/materials,,0.8420775
100,Shiv Nadar,21724314193,1.6210355,0.92938733,0.30953413,software/cloud,1163/431/1680/1492,1.5939332
101,Henry Nicholas III,21724314193,-1.2016108,0.5481924,-0.4419267,semiconductors/hardware,50/6/1718/7,1.2610606
102,Vinod Adani,21639120804,1.5461483,0.24142131,0.9264052,Infrastructure/commodities,24,1.6879392
103,Lei Jun,21468734026,0.48548988,0.55542624,-0.15331118,automotive,208/2767/1602/328,0.6697777
104,Emmanuel Besnier,21383540637,-0.24817684,0.66602755,0.36313722,Cheese,688/405/404,0.5371146
105,Phil Knight & family,21383540637,-1.0341666,1.9597586,-0.29041022,apparel/sportswear,1078/2690/1453,1.912045
106,Rick Cohen & family,21127960470,-0.6779828,0.45447096,0.2530604,Warehouse automation,1260/2612/1358/1068/1871,0.6336463
107,Stuart Hoegner,21042767081,-1.0007145,0.9920585,0.5227685,cryptocurrency/fintech,345/249/22/54/783/55,0.86932945
108,Christy Walton,20872380303,-1.1999315,0.89579487,-0.31903705,retail/logistics,9/37/8/121,1.5629902
109,John Doerr,20787186914,-0.8536736,1.7096486,-0.85594386,investment/finance,,1.5244248
110,Gennady Timchenko,20616800136,0.582894,0.7388506,0.22936271,energy/oil and gas,85/2470/900,1.2296851
111,Wang Chuanfu,20446413358,0.5051061,0.31205767,-0.08622584,automotive/batteries/energy storage,143/942,0.9666451
112,Takemitsu Takizaki,20361219969,0.8185066,0.46481398,-0.7384495,Sensors,,1.7699881
113,Dang Yanbao,20361219969,0.6535728,0.45184544,-0.39462978,mining/materials,1431/175,0.8420775
114,Harry Triguboff,20276026580,0.9551729,-0.8821019,-0.73116684,real estate,209/1111/136/1966/186,1.6829958
115,David Tepper,20190833191,-1.1205316,0.20971394,0.097927146,hedge funds/finance,3139/452/34/120/70,1.5244248
116,Rupert Murdoch & family,20190833191,-1.1615157,1.4544461,0.46269292,media/entertainment,828/652/205/1451/1783,1.8096282
117,Daniel Gilbert,20105639802,-0.43901342,0.36080995,-0.05177188,Rocket Mortgage,1297/943/2580/356,0.96423477
118,Ernest Garcia II,19850059635,-0.92855334,0.997964,-0.5695199,automotive,277/2847,0.6697777
119,Yu Yong,19850059635,1.0122947,0.8144843,-0.4686038,mining/materials,77/239/147/29,0.8420775
120,Steve Cohen,19594479468,-0.8009862,0.5882393,0.6096189,hedge funds/finance,115/508/34/70/483,1.5244248
121,Stanley Kroenke,18912932356,-0.95219564,0.66759425,0.12664625,real estate/logistics/shipping/sports/entertainment,9/37/140/8,1.5629902
122,Todd Graves,18742545578,-0.76858383,0.74966145,0.090746105,food/beverages,1609/635/2851/3386/636/3029,0.431557
123,Chen Jianhua,18486965411,0.7407405,0.37525764,-0.3461765,Chemicals,586/1881/2735/1212,1.6866118
124,Diane Hendricks,18486965411,-1.297016,1.6855404,-0.17546189,construction/materials,,0.8420775
125,John Fredriksen,18401772022,-1.1411866,1.4212536,-0.31438297,logistics/shipping,59/1186/87/44/654,0.7081293
126,Prince Alwaleed Bin Talal Alsaud,18316578633,0.5096884,0.25080484,0.93558514,investment/finance,39,1.5244248
127,Kumar Birla,18060998467,0.6280736,0.3832659,0.3804927,Diversified,20,0.8902763
128,Stefan Persson,18060998467,-0.09122746,0.944718,0.5048356,H&M,2248/2113/1440/2224,0.3592772
129,Andrew Forrest & family,17805418300,1.0268974,-0.41547504,-0.9881555,mining/materials,1775/95/1609/565/1658/1118,0.8420775
130,Michael Platt,17805418300,-0.020166025,0.55342793,1.0134494,hedge funds/finance,3139/115/452/34/70/120,1.5244248
131,Prajogo Pangestu,17464644744,2.133623,0.28996658,-0.1813282,energy/oil and gas,,1.2296851
132,Andrey Melnichenko & family,17379451355,0.4160282,0.6029249,-0.03353932,mining/materials,506/1737/2648/3219/3359,0.8420775
133,Nancy Walton Laurie,17209064577,-0.8533154,1.1004461,-0.70169556,retail/logistics,9/37/8/121,1.5629902
134,Harold Hamm & family,17123871188,-0.85856605,0.3356533,-0.2366705,energy/oil and gas,1786/2039/71/373,1.2296851
135,Eric Li,17123871188,1.1058992,1.5012412,-0.8306611,automotive,719/757/274/369,0.6697777
136,Kwong Siu-hing,17123871188,1.4562173,0.2638982,-0.20165187,real estate,,1.6829958
137,Renata Kellnerova & family,17038677799,-1.050605,0.7928548,0.8205012,telecom/finance,396,1.5244248
138,Jorge Paulo Lemann & family,16697904243,0.16058822,1.1267596,0.7462141,Beer,630/389/1475,1.2409092
139,Zhong Huijuan,16612710854,0.48801503,0.4131664,-0.5269066,healthcare/pharmaceuticals,514/1843/253,1.4115231
140,Philip Anschutz,16527517465,-1.0793612,1.2824101,-0.4501217,ai/software/energy/oil and gas/logistics/shipping/media/entertainment/sports,121,1.2647958
141,Qin Yinglin,16527517465,1.153687,0.3593136,-0.10620555,Pig breeding,2884/3011,0.9504819
142,Jerry Jones & family,16442324076,-1.366377,0.50859046,-0.52470165,sports/entertainment,2392/2391/2393/214/373,1.8096282
143,Lu Xiangyang,16357130687,1.3086561,1.096696,-1.1189907,automotive/batteries/energy storage,111/942,0.9666451
144,Donald Bren,16357130687,-0.69574594,1.0342177,-0.8242202,real estate,114/1111/1966/1266,1.6829958
145,Dhanin Chearavanont,16357130687,0.65602326,0.39990044,-0.4327216,Diversified,580/569,0.8902763
146,Jason Chang,16271937298,0.8311352,0.6255393,-0.8602568,semiconductors/hardware,184/50/1293,1.2610606
147,Pei Zhenhua,16271937298,0.4881361,0.3798443,-0.11671816,batteries/energy storage,,0.76219267
148,Brett Adcock,16271937298,-0.4303173,0.4630781,-0.65450424,Robots,1088,0.83569664
149,Torstein Hagen,16186743909,-0.15019065,0.7202712,0.5580543,Cruises,2042,0.6831444
150,Nik Storonsky,16016357131,0.67584795,0.4193134,0.45390657,Fintech,3348/3347/1770/1925,1.8876406
151,Alejandro Baillères Gual & family,15845970353,-0.64289176,0.4679529,-0.29404718,Diversified,36/20,0.8902763
