Name,NetWorth_Billions,X,Y,Z,ForceBasedOnAge
Balkrishan Goenka,2.787484,0.6246038,0.22596593,0.192361,0.34444445
Bris Rocher,2.591292,-0.015537752,0.592941,0.53156424,0.47777778
Eric Li,17.898517,0.59371716,0.40116355,-0.3450164,0.31111112
Edward Glazer,2.011,-0.49178442,0.37814423,-0.26591116,0.37777779
Karl Friedrich Braun,1.765665,0.07968795,0.59620667,0.4739095,0.53333336
Mario Verrocchi,5.49161,0.3585356,-0.48466948,-0.511345,0.24444444
Andrei Guryev & family,10.772905,0.30893797,0.7434514,0.40093818,0.2777778
Vladimir Krupchak,1.630054,0.39295003,0.49877703,0.60421425,0.25555557
Peter Kamprad,1.210323,0.04233121,0.66002375,0.536193,0.32222223
Nicholas Howley,2.018454,-0.6005042,0.27721134,0.086747915,0.3
Vincent Lo,1.444639,0.5074038,0.22786017,-0.227767,0.14444445
She Yingjie,2.794404,0.57586795,0.33903736,-0.23673609,0.24444444
Prajogo Pangestu,23.442194,0.7280785,-0.08283665,-0.2204454,0.1
Brian Hill,2.111951,-0.32005087,0.44348413,-0.2087922,0.2777778
Leon Black,12.290559,-0.6465031,0.5787651,0.18530858,0.17777778
Gaye Farncombe,5.711138,0.52692723,0.3025724,-0.22529723,0.18888889
Lesley Bamberger,1.905369,0.031277277,0.47603622,0.36560622,0.33333334
Mahima Datla,3.147091,0.55392194,0.17699893,0.11313562,0.46666667
Polys Haji-Ioannou,1.325279,0.07805571,0.5782295,0.5992343,0.2777778
Fabrizio Di Amato,3.366118,0.094337426,0.39061603,0.42513138,0.31111112
Liu Hanyuan,7.635494,0.5259625,0.32152185,-0.13178793,0.32222223
Michael Teel,1.5069,-0.5960475,0.55765253,-0.36517838,0.17777778
Judy Faulkner,7.8121,0.49262375,0.2828746,-0.21063013,0.08888889
Alexander Savelyev & family,1.457347,0.17671663,0.6049168,0.30224323,0.21111111
Pamela Mars,11.900678,0.28057873,0.3407408,0.48763016,0.2777778
