ID,Name,NetWorth,x,y,z,sector or company,industries,connections,Age,Source_or_company_extended,Philanthropy_Score,Self_Made_Score,Citizenship,Marital_Status,Children,connection_names_matched,is_valid,connection_count,vx,vy,vz,velocity_strength,NetWorth_Billions
932,Chey Tae-won,3918895894.0,-0.9287363,0.2528128,0.1874781,Oil  semiconductor,semiconductors/hardware/energy/oil and gas,2227/4/357/996,65.0,Oil/ semiconductor,,,South Korea,Divorced,4.0,Chey Ki-won/Larry Ellison/Nassef Sawiris/J.B. Pritzker,True,4,0.0006346690782602365,0.035393984556201664,0.03184565832312235,0.047615994178811315,3.918895894
933,Michael Pieper,3918895894.0,0.07836825,0.8621423,1.0464388,Kitchen appliances,Kitchen appliances,2567/1116/779/2555/949,80.0,Kitchen appliances/ Self Made,,,Switzerland,Married,2.0,Franziska Wuerbser/Martin Ebner/Peter Spuhler/Ren Jianhua/Willy Michel,True,5,-0.013228319685089685,-0.02833578426340884,-0.02776016075650789,0.04181544734593354,3.918895894
934,Julia Thiele-Schuerhoff & family,3918895894.0,-0.31040102,1.0622133,0.9583344,Brakes  investments,investment/finance,48/297,54.0,Brakes/ investments,,,Germany,Married,,Klaus-Michael Kuehne/Nadia Thiele & family,True,2,0.04119337452454416,-0.002619025556632574,0.013723507167086677,0.04349813844925709,3.918895894
935,Friede Springer,3918895894.0,0.49295858,0.9207545,1.0475532,Publishing,Publishing,648/1011/1035/1521/649,83.0,Publishing,,,Germany,Widowed,,Christiane Schoeller/Hubert Burda/Martin Bouygues/Mathias Doepfner/Stefan von Holtzbrinck,True,5,-0.03202333064753761,0.002291272734915662,-0.019864325007470082,0.0377536096884747,3.918895894
936,David Filo,3918895894.0,-1.3699737,1.1726376,-0.83666766,Yahoo,Yahoo,1385/2649/20/13/2689,60.0,Yahoo/ Self Made,3.0,8.0,United States,Married,1.0,Jerry Yang/Marissa Mayer/Mukesh Ambani/Steve Ballmer/Tiger Woods,True,5,0.0418088322088727,-0.006684040519947802,0.023079428766545642,0.04822151885343337,3.918895894
937,Eleanor Butt Crook & family,3918895894.0,-1.7520304,0.475063,0.35391438,Supermarkets,retail,293/2003/159/1380/1346,93.0,Supermarkets,3.0,1.0,United States,Widowed,3.0,Charles Butt/Djoko Susanto/Karl Albrecht Jr. & family/Lin Ming-hsiung/Stephen Butt & family,True,5,0.033381596620595394,0.015193375951090353,-0.0038235977419097777,0.036875324614479725,3.918895894
938,Liang Zhaoxian,3918895894.0,0.9292056,0.7774183,-0.26448593,Appliances,Appliances,2529/1517/1627/2184/2549/206,63.0,Appliances,,,China,,,Gabriella Meister/He Xiaopeng/Ni Zugen/Ralph Winterhalter/Ulrike Meister/Zhang Zhidong,True,6,0.02248928704705628,0.01953315575688918,0.015644128877085373,0.0336459651968946,3.918895894
939,Sergio Stevanato & family,3918895894.0,-0.005441129,0.6727554,0.8700256,Medical packaging,healthcare/pharmaceuticals,,83.0,Medical packaging/ Self Made,,,Italy,Married,2.0,,True,0,-0.0004494048130703907,-0.002331214106812063,-0.00440039499388289,0.005,3.918895894
940,Cai Kui,3918895894.0,1.5038329,0.34471527,0.119476736,Real estate,real estate,1111/186/629,63.0,Real estate/ Self Made,,,China,,1.0,Kwek Leng Beng/Peter Woo/Wu Yajun,True,3,-0.018859630871568098,-0.002107207679053194,-0.040617492271607276,0.0448319827717729,3.918895894
941,Yang Steven Meng,3833702505.0,2.081516,0.45455065,-0.12456632,Electronics,Electronics,184/194/1156/1512/225/187,44.0,Electronics/ Self Made,,,China,Married,,Barry Lam/Bruce Cheng/C.C. Leung/Koo Bon-neung/Pierre Chen/Terry Gou,True,6,-0.019959431992661897,-0.0010678719924024148,-0.04464224666448449,0.04891267180715576,3.833702505
942,Xia Zuoquan,3833702505.0,1.3941712,1.2650807,-0.7492385,Automobiles  batteries,automotive/batteries/energy storage,143/111,64.0,Automobiles/ batteries/ Self Made,,,China,,,Lu Xiangyang/Wang Chuanfu,True,2,-0.02146584108314911,-0.027116224442023603,-0.00719555250138344,0.035324891184508635,3.833702505
943,Jennifer Gilbert,3833702505.0,-0.34999296,0.46469074,0.19645604,Rocket Mortgage,Rocket Mortgage,117/2580/334,57.0,Rocket Mortgage,,,United States,Divorced,5.0,Daniel Gilbert/Magic Johnson/Tom Gores,True,3,-0.01668998124050462,-0.002617212501789888,-0.04070610377419978,0.044072578317632415,3.833702505
944,Fabien Pinckaers,3833702505.0,-0.8381791,1.3359056,-1.2288415,Software,software/cloud,470/2847/1015/509/2851,47.0,Software/ Self Made,,,Belgium,Married,2.0,Mike Cannon-Brookes/Mike Speiser/Richard White/Scott Farquhar/Tope Awotona,True,5,0.021474451632126478,-0.033945002138581544,0.001594229947427767,0.040198965312730636,3.833702505
945,Laurence Graff & family,3833702505.0,0.16633649,1.292531,0.46872973,Diamond jewelry,Diamond jewelry,,87.0,Diamond jewelry/ Self Made,,,United Kingdom,Divorced,5.0,,True,0,-0.001766296866133733,-0.00447576352538542,-0.0013593146234465508,0.005000000000000001,3.833702505
946,Carlos Hank Rhon & family,3833702505.0,-0.7844208,0.300336,-0.20588872,Banking,finance,1274,78.0,Banking,,,Mexico,Married,3.0,Michiel Le Roux,True,1,0.005839535138529599,0.006050958764331744,0.04928778476862431,0.049999999999999996,3.833702505
947,Akira Mori & family,3833702505.0,0.65234673,1.1055658,-0.67468584,Real estate,real estate,114/1111/1966,89.0,Real estate,,,Japan,Married,3.0,Harry Triguboff/Kwek Leng Beng/Manuel Villar,True,3,0.008115124707548929,-0.048050875954346275,0.00144721042434244,0.048752808606390766,3.833702505
948,Paul Foster,3833702505.0,-0.8241166,0.41981146,-0.08422206,Oil refining,energy/oil and gas,257/1653,68.0,Oil refining/ Self Made,2.0,8.0,United States,Married,2.0,Andrew Beal/Kathy Britton,True,2,0.0018296234290698134,0.03034554313683699,-0.03295493077099545,0.04483555477835574,3.833702505
949,Willy Michel,3833702505.0,0.043952838,0.58023274,0.95696235,Medical devices,healthcare/pharmaceuticals,341/329/1116/933/576,79.0,Medical devices/ Self Made,,,Switzerland,Married,3.0,Carl Cook/Li Xiting/Martin Ebner/Michael Pieper/Xu Hang,True,5,-0.00359873622353544,0.009853678580557567,-0.02951552199371136,0.03132430242697807,3.833702505
950,Aristotelis Mistakidis,3833702505.0,0.28846636,1.083963,0.8115709,Mining  commodities,mining/materials,791/1020/210/1423,64.0,Mining/ commodities/ Self Made,,,Greece,Married,1.0,Bulat Utemuratov/Daniel Mate/Ivan Glasenberg/Tor Peterson,True,4,-0.004925929859366969,-0.02389625938073994,-0.009711929828324552,0.02626057079275515,3.833702505
951,Carlo Fidani,3833702505.0,-1.0393783,0.8874714,0.40499246,Real estate,real estate,114/1111/1966,71.0,Real estate,,,Canada,,,Harry Triguboff/Kwek Leng Beng/Manuel Villar,True,3,0.036236679573552054,-0.027453387053687408,-0.01932316746792162,0.049398078993309044,3.833702505
952,Dagmar Dolby & family,3833702505.0,-1.1269231,0.590405,-1.4524968,Dolby Laboratories,Dolby Laboratories,,84.0,Dolby Laboratories,4.0,1.0,United States,Widowed,2.0,,True,0,0.0037053634743647495,-0.0002786723125404881,0.0033455378140243657,0.005,3.833702505
953,Pablo Legorreta,3833702505.0,-0.8718916,0.4470601,0.19300358,Investments,investment/finance,406/2072/1142/1605/1420/2553,62.0,Investments/ Self Made,1.0,8.0,United States,Married,2.0,Frank Lowy/Giammaria Giuliani/James Packer/Mario Germano Giuliani/Richard Chandler/Thaksin Shinawatra,True,6,0.03399932160756581,-0.011853449139592485,-0.01488965744429524,0.03896357305340533,3.833702505
954,Wendy Abrams,3833702505.0,-0.7368926,0.7870709,0.020314243,Medical supplies,healthcare/pharmaceuticals,813/309/1158/1034,61.0,Medical supplies,,,United States,,,Andy Mills/Charlie Mills/Margaret Baker/Nancy Mills Barnett,True,4,-0.0005820074637824186,-0.007174737842920446,0.001181880740018845,0.007294685592001938,3.833702505
955,Carl Icahn,3833702505.0,-0.5666855,0.8175017,-0.11653926,Investments,investment/finance,406/1142/2553/1420,90.0,Investments/ Self Made,3.0,9.0,United States,Married,2.0,Frank Lowy/James Packer/Thaksin Shinawatra/Richard Chandler,True,4,0.019429613554741484,-0.03453568567763812,-0.0071085170936289665,0.040258595149130924,3.833702505
956,Somurai Jaruphnit,3833702505.0,0.7471231,0.2838314,-0.0975968,Diversified,Diversified,145/580/569,72.0,Diversified,,,Thailand,,,Dhanin Chearavanont/Jaran Chiaravanont/Sumet Jiaravanon,True,3,-0.008130337056204738,0.0022258884287513587,-0.04081202864096617,0.04167347647768048,3.833702505
957,Xiang Guangda,3833702505.0,0.9254675,1.1030543,-0.76945055,Metals,social media/advertising/ai/mining/materials,821/1691/877/79/3316,68.0,Metals/ Self Made,,,China,,,Andrei Kozitsyn/Huang Zelan & family/Igor Altushkin/Vladimir Potanin/Wang Xiancheng,True,5,-0.005484603563752853,0.0009916308911296237,0.046757687990139,0.04708869922029023,3.833702505
958,James Duff,3833702505.0,-1.5024036,1.0695537,0.007763031,Tires  diversified,Tires/diversified,965,65.0,Tires/ diversified/ Self Made,1.0,7.0,United States,Married,2.0,Thomas Duff,True,1,0.014156438652532561,0.022444208098779117,0.04237750308236412,0.05,3.833702505
959,Abdulla bin Ahmad Al Ghurair & family,3833702505.0,0.55411136,0.24288413,0.54906106,Diversified,Diversified,1642/36/20,97.0,Diversified,,,United Arab Emirates,Married,4.0,Abdullah bin Sulaiman Al Rajhi/Li Ka-shing/Mukesh Ambani,True,3,0.022181328633644425,-0.02030326709727523,-0.03387287738171245,0.045294655500329836,3.833702505
960,Anna Katharina Viessmann,3833702505.0,0.38000545,1.3713903,1.6729448,Heating and cooling equipment,Heating and cooling equipment,1409/444,40.0,Heating and cooling equipment,,,Germany,,,Martin Viessmann/Maximilian Viessmann,True,2,0.03431768823653555,0.018614475578035476,-0.028759591209897923,0.04849037547293037,3.833702505
961,Kevin David Lehmann,3833702505.0,-0.030701868,0.8262935,1.043022,Drugstores,retail,359/2261/654,23.0,Drugstores,,,Germany,,,Dirk Rossmann & family/Masateru Uno & family/Stefano Pessina,True,3,0.034288978999336917,0.01779300198412972,-0.029289377286302216,0.04847878528019827,3.833702505
962,Jose Roberto Marinho,3833702505.0,-0.28239432,-0.29871118,0.52093446,Media,media/entertainment,596/963,70.0,Media,,,Brazil,Married,5.0,David Thomson/Joao Roberto Marinho,True,2,-0.01954026633427813,0.04540544644502476,0.005046022179411359,0.04968841831978199,3.833702505
963,Joao Roberto Marinho,3833702505.0,-0.3512768,-0.17950688,0.52535695,Media,media/entertainment,596/962/1226,72.0,Media,,,Brazil,Married,3.0,David Thomson/Jose Roberto Marinho/Roberto Irineu Marinho,True,3,-0.0002718608648996668,-0.0016750974939975022,-0.003596398882060456,0.003976675101532234,3.833702505
