ID,Name,NetWorth,x,y,z,sector or company,industries,connections,Age,Source_or_company_extended,Philanthropy_Score,Self_Made_Score,Citizenship,Marital_Status,Children,connection_names_matched,is_valid,connection_count,vx,vy,vz,velocity_strength,NetWorth_Billions
964,Cho Hyun-joon,3833702505.0,0.49588692,0.57370484,0.35727832,Diversified,Diversified,3254/36/20,58.0,Diversified,,,South Korea,Married,2.0,Cho Hyun-sang/Li Ka-shing/Mukesh Ambani,True,3,0.017696511524070712,-0.03740028506786548,-0.013323314311558133,0.04346790249740306,3.833702505
965,Thomas Duff,3833702505.0,-1.2685728,1.4402788,0.7077389,Tires  diversified,Tires/diversified,958,69.0,Tires/ diversified/ Self Made,1.0,7.0,United States,Divorced,2.0,James Duff,True,1,-0.014156438652532561,-0.022444208098779117,-0.04237750308236412,0.05,3.833702505
966,Helen Johnson-Leipold,3833702505.0,-0.7548913,0.50073504,0.333932,Cleaning products,Cleaning products,985/335/989/982,69.0,Cleaning products,2.0,3.0,United States,Married,5.0,H. Fisk Johnson/Robert F. Smith/S. Curtis Johnson/Winifred J. Marquart,True,4,-0.012339964958680002,0.016456523524289727,-0.023218525276772574,0.031019216910087827,3.833702505
967,Lynn Schusterman & family,3748509116.0,-0.5282601,0.77759445,-0.3651331,Oil & gas  investments,investment/finance/energy/oil and gas,183/256/2943,87.0,Oil & gas/ investments,5.0,1.0,United States,Widowed,3.0,George Kaiser/Henry Kravis/Timothy Headington,True,3,-0.024276177492981055,0.0032767932166100017,0.029581145897891195,0.03840721755201054,3.748509116
968,Anne Beaufour,3748509116.0,0.19444558,0.7766704,0.34619778,Pharmaceuticals,healthcare/pharmaceuticals,1128/94/337/139,62.0,Pharmaceuticals,,,France,Married,,Dennis Bastas/Dilip Shanghvi/Murali Divi & family/Zhong Huijuan,True,4,0.02077707529684,-0.029086981467228375,-0.02002743433868994,0.040973619256248074,3.748509116
969,Abhay Firodia,3748509116.0,1.6963323,0.23994458,1.2195027,Automobiles,automotive,824/825,81.0,Automobiles,,,India,Married,4.0,Rajiv Bajaj/Sanjiv Bajaj,True,2,-0.03555593676538701,-0.005645906105826058,-0.03396810817603587,0.04949680058426886,3.748509116
970,Andreas Martinos & family,3748509116.0,1.3509449,0.8385256,0.9948886,Shipping,logistics/shipping,1979/1886/59/48/44,70.0,Shipping/ Self Made,,,Greece,Married,3.0,Athanasios Martinos & family/Constantinos Martinos & family/Idan Ofer/Klaus-Michael Kuehne/Rafaela Aponte-Diamant,True,5,-0.042718460656659074,0.020279977079678706,0.0019241249045279755,0.04732701773696551,3.748509116
971,Angela Bennett,3748509116.0,1.0953223,-0.44507357,-0.804656,Mining,mining/materials,1908/129/95/1971/1118,82.0,Mining,,,Australia,Married,7.0,Alexandra Burt/Andrew Forrest & family/Gina Rinehart/Leonie Baldock/Patrice Motsepe,True,5,-0.01451823331222217,0.016836970158209483,0.005124998326399984,0.022815088657775512,3.748509116
972,Luo Liguo & family,3748509116.0,0.7769435,0.26902026,-0.3969769,Chemicals,Chemicals,123/2371/1881/2735/1212,70.0,Chemicals/ Self Made,,,China,Married,2.0,Chen Jianhua/Huang Dawen/Lee Dong-chae/Soegiarto Adikoesoemo/Vivek Jain,True,5,-0.010985457263675377,0.032955369729665236,0.023449806757943396,0.04191217129063897,3.748509116
973,Sun Weijie,3748509116.0,1.1581849,0.87908614,-0.41519618,Oilfield equipment,energy/oil and gas,726/1739/1427,62.0,Oilfield equipment/ Self Made,,,China,Married,1.0,Eric Yuan & family/Liu Zhenfeng/Wang Kunxiao,True,3,-0.018397717130836596,0.009433735953412108,-0.007705549683759281,0.022064606626764533,3.748509116
